S-15C Kaldi   5 0.156342 S: 30, I:  6, D: 17
S-15C Google  5 0.306785 S: 55, I:  6, D: 43
S-15C Kaldi   6 0.727273 S:  4, I:  8, D:  4
S-15C Google  6 0.409091 S:  3, I:  4, D:  2
S-15C Kaldi   7 0.333333 S:  7, I: 22, D:  4
S-15C Google  7 0.565657 S: 25, I: 13, D: 18
S-15C Kaldi   8 0.175258 S: 21, I: 18, D: 12
S-15C Google  8 0.195876 S: 29, I:  7, D: 21
S-30B Kaldi   0 0.238579 S: 31, I:  6, D: 10
S-30B Google  0 0.370558 S: 32, I:  4, D: 37
S-30B Kaldi   1 0.218978 S: 17, I:  8, D:  5
S-30B Google  1 0.328467 S: 12, I:  2, D: 31
S-30B Kaldi   2 0.123675 S: 20, I:  3, D: 12
S-30B Google  2 0.204947 S: 22, I:  1, D: 35
S-30B Kaldi   3 0.145923 S: 19, I:  4, D: 11
S-30B Google  3 0.218884 S: 24, I:  1, D: 26
S-30B Kaldi   4 0.194323 S: 44, I:  6, D: 39
S-30B Google  4 0.259825 S: 49, I:  1, D: 69
S-30B Kaldi   5 0.162105 S: 48, I:  2, D: 27
S-30B Google  5 0.265263 S: 46, I:  6, D: 74
S-30B Kaldi   6 0.176471 S:  3, I:  2, D:  4
S-30B Google  6 0.176471 S:  1, I:  0, D:  8
S-30B Kaldi   7 0.164384 S:  9, I:  1, D:  2
S-30B Google  7 0.287671 S: 11, I:  0, D: 10
S-30B Kaldi   8 0.153846 S:  2, I:  1, D:  1
S-30B Google  8 0.269231 S:  1, I:  0, D:  6
S-30B Kaldi   9 0.140000 S:  5, I:  0, D:  2
S-30B Google  9 0.500000 S:  8, I:  0, D: 17
S-30B Kaldi  10 0.166667 S:  3, I:  0, D:  1
S-30B Google 10 0.583333 S:  5, I:  0, D:  9
S-30B Kaldi  11 0.274510 S:  5, I:  3, D:  6
S-30B Google 11 0.392157 S:  4, I:  1, D: 15
S-12D Kaldi   0 0.289474 S: 20, I:  2, D: 11
S-12D Google  0 0.526316 S: 26, I:  1, D: 33
S-12D Kaldi   1 0.328767 S: 28, I:  6, D: 14
S-12D Google  1 0.527397 S: 33, I:  1, D: 43
S-12D Kaldi   2 0.227848 S:  9, I:  3, D:  6
S-12D Google  2 0.405063 S: 18, I:  0, D: 14
S-12D Kaldi   3 0.297619 S: 12, I:  2, D: 11
S-12D Google  3 0.571429 S: 28, I:  0, D: 20
S-12D Kaldi   4 0.205714 S: 25, I:  0, D: 11
S-12D Google  4 0.422857 S: 38, I:  1, D: 35
S-12D Kaldi   5 0.315068 S: 27, I:  1, D: 18
S-12D Google  5 0.541096 S: 36, I:  1, D: 42
S-4D  Kaldi   0 0.405010 S: 93, I: 43, D: 58
S-4D  Google  0 0.511482 S:108, I: 12, D:125
S-4D  Kaldi   1 0.411622 S: 73, I: 39, D: 58
S-4D  Google  1 0.539952 S:111, I:  3, D:109
S-4D  Kaldi   2 0.358306 S: 51, I: 14, D: 45
S-4D  Google  2 0.514658 S: 73, I:  3, D: 82
S-4D  Kaldi   3 0.313609 S: 50, I:  9, D: 47
S-4D  Google  3 0.500000 S: 88, I:  2, D: 79
S-4D  Kaldi   4 0.339286 S: 76, I: 13, D: 63
S-4D  Google  4 0.502232 S:119, I:  3, D:103
S-4D  Kaldi   5 0.370546 S: 81, I: 22, D: 53
S-4D  Google  5 0.560570 S:119, I:  2, D:115
S-3C  Kaldi   0 0.287129 S: 21, I: 22, D: 15
S-3C  Google  0 0.306931 S: 28, I: 11, D: 23
S-3C  Kaldi   1 0.308824 S: 19, I: 14, D:  9
S-3C  Google  1 0.316176 S: 18, I:  3, D: 22
S-3C  Kaldi   2 0.236025 S: 31, I: 23, D: 22
S-3C  Google  2 0.347826 S: 43, I:  8, D: 61
S-3C  Kaldi   3 0.188073 S: 21, I: 10, D: 10
S-3C  Google  3 0.293578 S: 40, I:  5, D: 19
S-3C  Kaldi   4 0.192308 S: 52, I: 14, D: 14
S-3C  Google  4 0.350962 S: 90, I: 10, D: 46
S-3C  Kaldi   5 0.246914 S: 31, I:  9, D: 20
S-3C  Google  5 0.337449 S: 39, I:  2, D: 41
S-24D Kaldi   0 0.257642 S: 34, I:  6, D: 19
S-24D Google  0 0.480349 S: 57, I:  1, D: 52
S-24D Kaldi   1 0.211765 S: 26, I:  8, D: 20
S-24D Google  1 0.388235 S: 48, I:  2, D: 49
S-24D Kaldi   2 0.236264 S: 45, I: 13, D: 28
S-24D Google  2 0.420330 S: 85, I: 11, D: 57
S-24D Kaldi   3 0.252137 S: 74, I: 14, D: 30
S-24D Google  3 0.371795 S: 94, I:  5, D: 75
S-24D Kaldi   4 0.202922 S: 66, I: 31, D: 28
S-24D Google  4 0.386364 S:116, I:  6, D:116
S-24D Kaldi   5 0.240000 S: 54, I: 19, D: 41
S-24D Google  5 0.427368 S:115, I:  7, D: 81
S-24D Kaldi   6 0.192308 S:  8, I:  2, D:  5
S-24D Google  6 0.435897 S: 16, I:  0, D: 18
S-24D Kaldi   7 0.420000 S:  6, I: 14, D:  1
S-24D Google  7 0.520000 S: 18, I:  6, D:  2
S-24D Kaldi   8 0.203704 S:  3, I:  3, D:  5
S-24D Google  8 0.240741 S:  5, I:  0, D:  8
S-24D Kaldi   9 0.356643 S: 21, I: 25, D:  5
S-24D Google  9 0.517483 S: 51, I:  0, D: 23
S-24D Kaldi  10 0.191781 S:  7, I:  5, D:  2
S-24D Google 10 0.465753 S: 18, I:  0, D: 16
S-24D Kaldi  11 0.357895 S: 17, I:  9, D:  8
S-24D Google 11 0.494737 S: 19, I:  6, D: 22
S-29A Kaldi   0 0.129310 S: 19, I:  4, D:  7
S-29A Google  0 0.271552 S: 27, I:  2, D: 34
S-29A Kaldi   1 0.143939 S: 23, I:  2, D: 13
S-29A Google  1 0.246212 S: 22, I:  3, D: 40
S-29A Kaldi   2 0.104478 S: 16, I:  2, D: 10
S-29A Google  2 0.350746 S: 19, I:  0, D: 75
S-29A Kaldi   3 0.106897 S: 22, I:  2, D:  7
S-29A Google  3 0.255172 S: 31, I:  1, D: 42
S-29A Kaldi   4 0.109015 S: 28, I: 11, D: 13
S-29A Google  4 0.266247 S: 40, I:  6, D: 81
S-29A Kaldi   5 0.101562 S: 14, I:  3, D:  9
S-29A Google  5 0.230469 S: 23, I:  2, D: 34
S-29A Kaldi   6 0.103448 S:  1, I:  2, D:  0
S-29A Google  6 0.172414 S:  0, I:  0, D:  5
S-29A Kaldi   7 0.162162 S:  8, I:  3, D:  1
S-29A Google  7 0.189189 S:  6, I:  1, D:  7
S-29A Kaldi   8 0.138889 S:  6, I:  2, D:  2
S-29A Google  8 0.180556 S:  4, I:  0, D:  9
S-29A Kaldi   9 0.085714 S:  1, I:  0, D:  2
S-29A Google  9 0.457143 S:  6, I:  2, D:  8
S-29A Kaldi  10 0.084746 S:  5, I:  0, D:  0
S-29A Google 10 0.220339 S:  7, I:  1, D:  5
S-29A Kaldi  11 0.304348 S:  9, I:  0, D:  5
S-29A Google 11 0.195652 S:  2, I:  0, D:  7
S-17A Kaldi   0 0.190275 S: 61, I: 10, D: 19
S-17A Google  0 0.327696 S: 71, I:  7, D: 77
S-17A Kaldi   1 0.133681 S: 54, I:  4, D: 19
S-17A Google  1 0.255208 S: 75, I:  6, D: 66
S-17A Kaldi   2 0.089172 S: 19, I:  3, D:  6
S-17A Google  2 0.216561 S: 27, I:  4, D: 37
S-17A Kaldi   3 0.150912 S: 63, I: 11, D: 17
S-17A Google  3 0.291874 S:105, I:  7, D: 64
S-17A Kaldi   4 0.127962 S: 54, I:  4, D: 23
S-17A Google  4 0.287520 S: 98, I:  5, D: 79
S-17A Kaldi   5 0.132075 S: 19, I:  7, D: 16
